,model,accuracy,precision,recall,f1score,rocauc,logloss
0,gnb,0.7844460944460945,0.7426101754011291,0.8707692307692307,0.798116473139233,0.8613044355763497,8.37556835220853
1,bnb,0.8098514998514998,0.795136368918963,0.8307692307692307,0.8198775942874551,0.8745399293610385,7.737407141318002
2,mnb,0.7667389367389367,0.7623213651967442,0.7953846153846154,0.7789020611913073,0.8480802715471768,8.933907936499022
3,logit,0.8175200475200477,0.8261233115468409,0.8107692307692307,0.843271464066528,0.8485184165863953,5.902754368473133
4,knn,0.745975645975646,0.7420204399170546,0.7353846153846153,0.7433653962025568,0.8374456217604695,9.811353055946803
5,decisiontree,0.8576002376002376,0.8573373580610424,0.8553846153846154,0.8621412503210053,0.8513774597495528,4.307407663929539
6,randomforest,0.9006979506979507,0.9100948652623293,0.9046153846153846,0.9093725140838881,0.9629616072657218,3.1109068687485206
7,svc,0.6643510543510543,0.7175501268378002,0.6092307692307692,0.6664322646316747,0.7659057841383424,10.28995965261335
8,linearsvc,0.5065369765369765,0.20958297872340426,0.7307692307692308,0.13509234828496045,0.6202408146415302,17.229505083835353
